Trial ID,NCT ID,Trial Title,Trial Phase,Therapeutic Area,Disease,Trial Status,Sponsor,Start Date,End Date,Patient Segment,Countries
390177,NCT04642469,"A Phase III, Randomized, Multicenter, Double-blind, Placebo-controlled Study of Durvalumab for the Treatment of Stage II-III NSCLC Patients With Minimal Residual Disease Following Surgery and Curative Intent Therapy",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca,30-11-2020,20-08-2025,"['Adjuvant', ' Neoadjuvant', ' Stage II', ' Stage III']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Greece', ' Hong Kong, S.A.R., China', ' Hungary', ' India', ' Israel', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Peru', ' Poland', ' Romania', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Sweden', ' Switzerland', ' Taiwan, China', ' Turkey', ' United Kingdom', ' United States', ' Vietnam']"
386856,NCT04585490,Personalized Escalation of Consolidation Treatment Following Chemoradiotherapy and Immunotherapy in Stage III NSCLC,I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"AstraZeneca
Stanford University Medical Center",25-08-2021,02-02-2023,"['Maintenance/Consolidation', ' Second line', ' Squamous Cell', ' Stage III']",['United States']
377964,NCT04447118,"A Phase III, Randomized, Open-label, Multicenter Study of the Efficacy and Safety of Pyrotinib Versus Docetaxel in Patients With Advanced Non-squamous Non-small Cell Lung Cancer (NSCLC) Harboring a HER2 Exon 20 Mutation Who Progressed on or After Treatment With Platinum Based Chemotherapy",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"Jiangsu Hengrui Pharmaceuticals Co. {Jiangsu Hengrui Medicine}/Shanghai Hengrui Pharmaceutical {Shanghai Hengrui Pharmaceutical (Jiangsu Hengrui Medicine, HKG Science & Tech. JV)}",11-09-2020,04-12-2024,"['Adenocarcinoma', ' HER2 positive', ' Large Cell', ' Second line', ' Stage III', ' Stage IV']","['Australia', ' Belgium', ' China', ' France', ' Germany', ' Italy', ' Poland', ' Russia', ' South Korea', ' Spain', ' Taiwan, China', ' Turkey', ' United States']"
376846,NCT04427072,"A Phase III, Randomized, Controlled, Open-label, Multicenter, Global Study of Capmatinib Versus SoC Docetaxel Chemotherapy in Previously Treated Patients With EGFR wt, ALK Negative, Locally Advanced or Metastatic (Stage IIIB/IIIC or IV) NSCLC Harboring MET Exon 14 Skipping Mutation (METdeltaex14).",II,Oncology,"Oncology: Lung, Non-Small Cell",Open,Novartis,25-09-2020,24-11-2023,"['Second line', ' Stage III', ' Stage IV', ' Third line']","['Australia', ' Belgium', ' Brazil', ' Bulgaria', ' France', ' Germany', ' Hungary', ' India', ' Israel', ' Italy', ' Lithuania', ' Malaysia', ' Netherlands', ' Portugal', ' Russia', ' South Africa', ' South Korea', ' Spain', ' Thailand', ' Vietnam']"
374298,NCT04385368,"A Phase III, Randomized, Multicenter, Double-blind, Placebo-controlled Study to Determine the Efficacy of Adjuvant Durvalumab in Combination With Platinum-based Chemotherapy in Completely Resected Stage II-III NSCLC (Mermaid-1)",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca,17-07-2020,06-10-2025,"['Adjuvant', ' Stage II', ' Stage III']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Greece', ' Hong Kong, S.A.R., China', ' Hungary', ' India', ' Israel', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Peru', ' Poland', ' Romania', ' Russia', ' Singapore', ' South Korea', ' Spain', ' Sweden', ' Switzerland', ' Taiwan, China', ' Thailand', ' Turkey', ' United Kingdom', ' United States', ' Vietnam']"
373954,NCT04379635,"A Randomized, Double-Blind, Placebo-Controlled, Phase III Study to Compare the Efficacy and Safety of Neoadjuvant Treatment With Tislelizumab (BGB-A317, Anti-PD-1 Antibody) or Placebo Plus Platinum-Based Doublet Chemotherapy Followed By Adjuvant Tislelizumab or Placebo in Resectable Stage II or IIIA Non-Small Cell Lung Cancer",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,BeiGene,29-05-2020,28-11-2023,"['Adjuvant', ' Neoadjuvant', ' Stage II', ' Stage III']",['China']
372238,NCT04351555,"A Phase III, Randomised, Controlled, Multi-center, 3-Arm Study of Neoadjuvant Osimertinib as Monotherapy or in Combination With Chemotherapy Versus Standard of Care Chemotherapy Alone for the Treatment of Patients With Epidermal Growth Factor Receptor Mutation Positive, Resectable Non-small Cell Lung Cancer",II,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca,05-11-2020,07-06-2023,"['Adenocarcinoma', ' Adjuvant', ' EGFR', ' Large Cell', ' Neoadjuvant', ' Stage II', ' Stage III']","['Austria', ' Brazil', ' Bulgaria', ' Chile', ' China', ' Germany', ' India', ' Israel', ' Italy', ' Japan', ' Mexico', ' Peru', ' Poland', ' Russia', ' South Korea', ' Spain', ' Switzerland', ' Taiwan, China', ' Thailand', ' Turkey', ' United Kingdom', ' United States', ' Vietnam']"
369576,NCT04303780,"A Phase III Multicenter, Randomized, Open Label, Active-controlled, Study of AMG 510 Versus Docetaxel for the Treatment of Previously Treated Locally Advanced and Unresectable or Metastatic NSCLC Subjects With Mutated KRAS p.G12C",II,Oncology,"Oncology: Lung, Non-Small Cell",Closed,Amgen,29-05-2020,20-02-2025,"['KRAS', ' Second line', ' Stage III', ' Stage IV', ' Third line']","['Australia', ' Belgium', ' Brazil', ' Canada', ' China', ' Denmark', ' Finland', ' France', ' Germany', ' Greece', ' Hungary', ' Italy', ' Japan', ' Netherlands', ' Poland', ' Portugal', ' Russia', ' South Korea', ' Spain', ' Sweden', ' Switzerland', ' Taiwan, China', ' United Kingdom', ' United States']"
363903,NCT04471428,"A Phase III, Multicenter, Randomized, Open-Label, Controlled Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Atezolizumab Given in Combination With Cabozantinib Versus Docetaxel Monotherapy in Patients With Metastatic Non-Small Lung Cancer Previously Treated With an Anti-PD-L1/PD-1 Antibody and Platinum-Containing Chemotherapy",I,Oncology,"Oncology: Lung, Non-Small Cell",Closed,"Exelixis
Takeda
Ipsen
Roche {F. Hoffmann-La Roche}",01-10-2020,19-12-2025,"['Second line', ' Stage III', ' Stage IV', ' Third line']","['Australia', ' Austria', ' Belgium', ' France', ' Germany', ' Greece', ' Italy', ' Japan', ' Poland', ' Portugal', ' Russia', ' South Korea', ' Spain', ' United Kingdom', ' United States']"
353670,NCT04025879,"A Phase III, Randomized, Double-blind Study of Neoadjuvant Chemotherapy Plus Nivolumab Versus Neoadjuvant Chemotherapy Plus Placebo, Followed by Surgical Resection and Adjuvant Treatment With Nivolumab or Placebo for Participants With Resectable Stage II-IIIB Non-small Cell Lung Cancer.",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,Bristol-Myers Squibb,05-11-2019,08-01-2022,"['Adjuvant', ' Neoadjuvant', ' Stage II', ' Stage III']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Canada', ' China', ' Czech Republic', ' France', ' Germany', ' Ireland', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' New Zealand', ' Poland', ' Puerto Rico', ' Romania', ' Russia', ' Spain', ' Taiwan, China', ' United Kingdom', ' United States']"
348814,NCT03937154,"A Phase III Randomized Placebo-controlled Double-blind Study of Romiplostim for the Treatment of Chemotherapy-induced Thrombocytopenia in Patients Receiving Chemotherapy for Treatment of Non-small Cell Lung Cancer (NSCLC), Ovarian Cancer, or Breast Cancer",II,Oncology,"Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Ovarian; Oncology: Supportive Care",Open,Amgen,26-02-2020,22-07-2024,"['Fourth line or greater', ' Second line', ' Stage I', ' Stage II', ' Stage III', ' Stage IV', ' Third line', ' Thrombocytopenia']","['Argentina', ' Austria', ' Brazil', ' Bulgaria', ' Chile', ' Colombia', ' Greece', ' Hungary', ' Mexico', ' Peru', ' Poland', ' Portugal', ' Romania', ' Russia', ' Spain', ' Turkey', ' Ukraine', ' United States']"
344390,NCT03976375,"A Phase III, Multicenter, Randomized, Open-label Trial to Compare the Efficacy and Safety of Pembrolizumab (MK-3475) in Combination With Lenvatinib (E7080/MK-7902) Versus Docetaxel in Previously Treated Participants With Metastatic Non-small Cell Lung Cancer (NSCLC) and Progressive Disease (PD) After Platinum Doublet Chemotherapy and Immunotherapy (LEAP-008)",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"Eisai
Merck & Co./Merck Sharp & Dohme (MSD)",26-06-2019,18-05-2024,"['Adenocarcinoma', ' KRAS', ' Large Cell', ' Second line', ' Squamous Cell', ' Stage IV']","['Argentina', ' Australia', ' Canada', ' Colombia', ' France', ' Germany', ' Greece', ' Hungary', ' Israel', ' Italy', ' Japan', ' Portugal', ' Puerto Rico', ' Russia', ' South Korea', ' Spain', ' United Kingdom', ' United States']"
343299,,Efficacy and Safety of Intas Denosumab in Comparison with Xgeva in Patients with Solid Tumours with Bone Metastases,I,Oncology,"Oncology: Breast; Oncology: Lung, Non-Small Cell; Oncology: Metastatic Cancer; Oncology: Prostate",Completed,Intas Pharmaceuticals,11-02-2019,14-05-2022,"['Bone mets', ' Line of therapy N/A', ' Stage IV']",['India']
340378,NCT03800134,"A Phase III, Double-blind, Placebo-controlled, Multi-center International Study of Neoadjuvant/Adjuvant Durvalumab for the Treatment of Patients With Resectable Stages II and III Non-small Cell Lung Cancer (AEGEAN)",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"AstraZeneca {MedImmune}
Catalent Pharma Solutions",06-12-2018,05-12-2021,"['Adenocarcinoma', ' Adjuvant', ' ALK', ' EGFR', ' Large Cell', ' Neoadjuvant', ' Squamous Cell', ' Stage II', ' Stage III']","['Argentina', ' Austria', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' Chile', ' China', ' Costa Rica', ' France', ' Germany', ' Hungary', ' India', ' Italy', ' Japan', ' Mexico', ' Netherlands', ' Peru', ' Philippines', ' Poland', ' Puerto Rico', ' Romania', ' Russia', ' South Korea', ' Spain', ' Taiwan, China', ' Thailand', ' Ukraine', ' United States', ' Vietnam']"
338410,NCT03768063,"An Open Label, Multicenter Extension Study In Patients Previously Enrolled In A Genentech And/Or  F. Hoffmann-La Roche Ltd Sponsored Atezolizumab Study",I,Oncology,"Oncology: Bladder; Oncology: Head/Neck; Oncology: Lung, Non-Small Cell; Oncology: Renal; Oncology: Unspecified Solid Tumor",Open,"Roche/Chugai Pharmaceutical
Roche {F. Hoffmann-La Roche}",28-02-2019,06-01-2021,"['Line of therapy N/A', ' Stage III', ' Stage IV']","['Australia', ' Belgium', ' Brazil', ' Bulgaria', ' Canada', ' Chile', ' China', ' Czech Republic', ' Denmark', ' France', ' Germany', ' Greece', ' Guatemala', ' Hong Kong, S.A.R., China', ' Hungary', ' Israel', ' Italy', ' Japan', ' Latvia', ' Malaysia', ' Mexico', ' Netherlands', ' Norway', ' Poland', ' Portugal', ' Romania', ' Russia', ' Singapore', ' Slovakia', ' South Korea', ' Spain', ' Switzerland', ' Taiwan, China', ' Thailand', ' Turkey', ' Ukraine', ' United Kingdom', ' United States']"
336795,NCT03743051,"A Phase III Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Anamorelin HCl for the Treatment of Malignancy Associated Weight Loss and Anorexia in Adult Patients With Advanced Non-Small Cell Lung Cancer (NSCLC)",I,Oncology,"Oncology: Lung, Non-Small Cell; Oncology: Supportive Care",Open,Helsinn Healthcare,18-12-2018,05-05-2024,"['Cachexia', ' Line of therapy N/A', ' Stage III', ' Stage IV']","['Bulgaria', ' Hungary', ' Italy', ' Russia', ' Serbia', ' United States']"
336794,NCT03743064,"A Phase III Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Anamorelin HCl for the Treatment of Malignancy Associated Weight Loss and Anorexia in Adult Patients With Advanced Non-Small Cell Lung Cancer (NSCLC)",II,Oncology,"Oncology: Lung, Non-Small Cell; Oncology: Supportive Care",Open,Helsinn Healthcare,18-12-2018,19-08-2021,"['Cachexia', ' Line of therapy N/A', ' Stage III', ' Stage IV']","['Australia', ' Belgium', ' Croatia', ' Germany', ' Poland', ' Romania', ' Russia', ' Ukraine', ' United States']"
336742,NCT03906071,A Randomized Phase III Study of Sitravatinib in Combination With Nivolumab Versus Docetaxel in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer With Disease Progression On or After Platinum-Based Chemotherapy and Checkpoint Inhibitor Therapy SAPPHIRE,III,Oncology,"Oncology: Lung, Non-Small Cell",Open,"Bristol-Myers Squibb
Mirati Therapeutics {MethylGene}",15-07-2019,16-08-2022,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Stage III', ' Stage IV', ' Third line']","['Belgium', ' Canada', ' France', ' Germany', ' Hungary', ' Israel', ' Italy', ' Netherlands', ' Spain', ' Switzerland', ' United Kingdom', ' United States']"
336387,NCT03735121,"A Randomized, Multicenter, Phase Ib/III Study to Investigate the Pharmacokinetics, Efficacy, and Safety of Atezolizumab Subcutaneous Compared With Atezolizumab Intravenous in Patients With Previously Treated Locally Advanced or Metastatic Non-Small Cell Lung Cancer",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,Roche {F. Hoffmann-La Roche},27-12-2018,30-05-2021,"['EGFR', ' Second line', ' Stage III', ' Stage IV']","['Argentina', ' Brazil', ' Bulgaria', ' Chile', ' China', ' Costa Rica', ' France', ' Greece', ' Guatemala', ' Hungary', ' Italy', ' Latvia', ' Mexico', ' New Zealand', ' Peru', ' Poland', ' Russia', ' South Africa', ' South Korea', ' Spain', ' Thailand', ' Turkey', ' Ukraine', ' United Kingdom']"
334578,NCT03706690,"A Phase III, Randomised, Double-Blind, Placebo-Controlled, Study of Durvalumab as Consolidation Therapy in Patients With Locally Advanced,Unresectable NSCLC, Who Have Not Progressed Following Definitive, Platinum-Based Chemoradiation Therapy",II,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca {MedImmune},27-11-2018,21-12-2022,"['ALK', ' EGFR', ' Maintenance/Consolidation', ' Second line', ' Stage III']","['China', ' Hong Kong, S.A.R., China', ' India', ' Mexico', ' Philippines', ' Poland', ' Russia', ' South Korea', ' Taiwan, China', ' Turkey']"
332125,NCT03728556,"A Randomized, Double-Blind, Placebo-Controlled, Phase III Clinical Trial of CS1001 as Consolidation Treatment in Subjects With Locally Advanced/Unresectable (Stage III) Non-Small Cell Lung Cancer That Has Not Progressed After Prior Concurrent/Sequential Chemoradiotherapy",III,Oncology,"Oncology: Lung, Non-Small Cell",Completed,CStone Pharmaceuticals,26-10-2018,13-05-2024,"['Maintenance/Consolidation', ' Squamous Cell', ' Stage III', ' Stage IV']",['China']
328695,NCT03596866,A Phase III Randomized Open-label Study of Brigatinib (Alunbrig) Versus Alectinib (Alecensa) in Advanced Anaplastic Lymphoma Kinase-Positive Non Small-Cell Lung Cancer Patients Who Have Progressed on Crizotinib (Xalkori),I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"(Other Industry Sponsor)
Takeda {Ariad}
Takeda/Takeda Pharmaceutical (China) Company",19-04-2019,27-05-2021,"['ALK', ' Second line', ' Stage III', ' Stage IV', ' Third line']","['Argentina', ' Austria', ' Brazil', ' Canada', ' Chile', ' China', ' Croatia', ' France', ' Germany', ' Greece', ' Hong Kong, S.A.R., China', ' Hungary', ' Italy', ' Mexico', ' Romania', ' Russia', ' South Korea', ' Spain', ' Sweden', ' Taiwan, China', ' Thailand', ' United States']"
324107,NCT03521154,"A Phase III, Randomized, Double-blind, Placebo-controlled, Multicenter, International Study of Osimertinib as Maintenance Therapy in Patients With Locally Advanced, Unresectable EGFR Mutation-positive Non-Small Cell Lung Cancer (Stage III) Whose Disease Has Not Progressed Following Definitive Platinum-based Chemoradiation Therapy (LAURA)",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,AstraZeneca,19-07-2018,12-01-2023,"['Adenocarcinoma', ' EGFR', ' Large Cell', ' Maintenance/Consolidation', ' Stage III']","['Argentina', ' Brazil', ' China', ' Hungary', ' India', ' Japan', ' Malaysia', ' Mexico', ' Peru', ' Russia', ' South Korea', ' Spain', ' Taiwan, China', ' Thailand', ' Turkey', ' United States', ' Vietnam']"
323712,NCT03515837,"A Randomized, Double-Blind, Phase III Study of Pemetrexed + Platinum Chemotherapy With or Without Pembrolizumab (MK-3475) in TKI-resistant EGFR-mutated Tumors in Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) Participants (KEYNOTE-789)",II,Oncology,"Oncology: Lung, Non-Small Cell",Closed,Merck & Co./Merck Sharp & Dohme (MSD),29-06-2018,06-07-2020,"['Adenocarcinoma', ' EGFR', ' Large Cell', ' Maintenance/Consolidation', ' Second line', ' Stage IV']","['Australia', ' Brazil', ' Canada', ' China', ' France', ' Germany', ' Hong Kong, S.A.R., China', ' Israel', ' Italy', ' Japan', ' Mexico', ' South Korea', ' Spain', ' Sweden', ' Taiwan, China', ' United Kingdom', ' United States']"
321216,NCT03542461,"An Open-label, Randomized Phase III Study of Early Switch Maintenance vs Delayed Second-line Nivolumab in Advanced Stage Squamous Non-small Cell Lung Cancer (NSCLC) Patients After Standard First-line Platinum-based Chemotherapy-EDEN trial",III,Oncology,"Oncology: Lung, Non-Small Cell",Closed,"Bristol-Myers Squibb
(Other Hospital/Academic/Medical Center)
Mipharm
Gruppo Oncologico Italiano di Ricerca Clinica (GOIRC) {Italian Oncology Group for Cancer Research}",25-09-2017,14-03-2023,"['Maintenance/Consolidation', ' Second line', ' Squamous Cell', ' Stage III', ' Stage IV']",['Italy']
319940,NCT03456076,"A Phase III, Open-Label, Randomized Study to Evaluate the Efficacy and Safety of Adjuvant Alectinib Versus Adjuvant Platinum-Based Chemotherapy in Patients With Completely Resected Stage IB (Tumors Equal to or Larger Than 4cm) to Stage IIIA Anaplastic Lymphoma Kinase Positive Non-Small Cell Lung Cancer",I,Oncology,"Oncology: Lung, Non-Small Cell",Open,"Roche/Chugai Pharmaceutical
Roche {F. Hoffmann-La Roche}
Excella GmbH",16-08-2018,14-04-2022,"['Adjuvant', ' ALK', ' Stage I', ' Stage II', ' Stage III']","['Australia', ' Austria', ' Bosnia and Herzegovina', ' China', ' Denmark', ' Egypt', ' France', ' Germany', ' Greece', ' Hungary', ' Israel', ' Italy', ' Japan', ' Kazakhstan', ' Latvia', ' Macedonia', ' New Zealand', ' Poland', ' Portugal', ' Romania', ' Russia', ' Saudi Arabia', ' Singapore', ' Slovenia', ' South Africa', ' South Korea', ' Spain', ' Taiwan, China', ' Thailand', ' Turkey', ' Ukraine', ' United Kingdom', ' United States']"
318074,NCT03425643,"A Phase III, Randomized, Double-blind Trial of Platinum Doublet Chemotherapy +/-Pembrolizumab (MK-3475) as Neoadjuvant/Adjuvant Therapy for Participants With Resectable Stage II, IIIA, and Resectable IIIB (T3-4N2) Non-small Cell Lung Cancer (NSCLC) (KEYNOTE-671).",I,Oncology,"Oncology: Lung, Non-Small Cell",Closed,Merck & Co./Merck Sharp & Dohme (MSD),09-03-2018,02-01-2023,"['Adjuvant', ' Neoadjuvant', ' Stage II', ' Stage III']","['Argentina', ' Australia', ' Belgium', ' Brazil', ' Canada', ' China', ' Estonia', ' France', ' Germany', ' Hungary', ' Ireland', ' Italy', ' Japan', ' Latvia', ' Lithuania', ' Malaysia', ' Poland', ' Romania', ' Russia', ' South Africa', ' South Korea', ' Spain', ' Taiwan, China', ' Ukraine', ' United Kingdom', ' United States']"
315876,NCT03390686,"A Randomised, Double-blind, Parallel Group, Equivalence, Multicentre Phase III Trial to Compare the Efficacy, Safety, Pharmacokinetics and Immunogenicity of HD204 to Avastin in Patients With Metastatic or Recurrent Non-squamous Non-small Cell Lung Cancer",III,Oncology,"Oncology: Lung, Non-Small Cell",Open,Prestige Biopharma,01-07-2019,20-10-2024,"['Adenocarcinoma', ' Large Cell', ' Second line', ' Stage III', ' Stage IV']","['Belarus', ' Bulgaria', ' Chile', ' Croatia', ' Georgia', ' Greece', ' Hungary', ' India', ' Latvia', ' Malaysia', ' Philippines', ' Poland', ' Romania', ' Russia', ' Serbia', ' Slovakia', ' Thailand', ' Turkey', ' Ukraine']"
